"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"3","3.c","3.c.1","C030c01","Health worker density and distribution","SH_MED_NSRMWY","+","Health worker density of nursing and midwifery personnel per 1,000 population","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 1,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","6.36","C, 12, 53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","3.c","3.c.1","C030c01","Health worker density and distribution","SH_MED_PHYSNS","+","Health worker density of physicians per 1,000 population","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 1,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","1.06","C, 12, 53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","3.d","3.d.1","C030d01","International Health Regulations (IHR) capacity and health emergency preparedness","SH_IHR_CAPPRD","SD","International Health Regulations (IHR) core capacity index","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Index","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.80","C, 23, 54","58.20","C, 24, 54","","","60.20","C, 26, 54","",""
"4","4.2","4.2.2","C040202","Participation rate in organized learning (one year before the official primary entry age), by sex","SE_PRE_PARTN","SD","Participation rate in organized learning (one year before the official primary entry age)","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.77","C, 22, 55","","","34.07","C, 24, 55","98.92","C, 25, 55","92.60","C, 26, 55","",""
"4","4.2","4.2.2","C040202","Participation rate in organized learning (one year before the official primary entry age), by sex","SE_PRE_PARTN","SD","Participation rate in organized learning (one year before the official primary entry age)","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","E, 22, 55","","","39.10","C, 24, 55","97.80","C, 25, 55","90.04","C, 26, 55","",""
"4","4.2","4.2.2","C040202","Participation rate in organized learning (one year before the official primary entry age), by sex","SE_PRE_PARTN","SD","Participation rate in organized learning (one year before the official primary entry age)","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.67","E, 22, 55","","","29.19","C, 24, 55","100.00","C, 25, 55","95.08","C, 26, 55","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_LSC_GPITCH","SD","Gender parity index of teachers in lower secondary education who are trained","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","","","","","","","","","","","","","","","","","","","","","","","","","0.95","E, 13, 55","0.99","E, 14, 55","1.07","E, 15, 55","0.72","E, 16, 55","","","","","","","1.23","C, 20, 55","1.46","C, 21, 55","1.02","C, 22, 55","1.09","C, 23, 55","","","","","","","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_PRE_GPIPARTN","SD","Gender parity index for participation rate in organized learning (one year before the official primary entry age)","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.12","E, 22, 55","","","1.34","C, 24, 55","0.98","C, 25, 55","0.95","C, 26, 55","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_PRM_GPITCH","SD","Gender parity index of teachers in primary education who are trained","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","","","","","","","","","","","","","","","","","","","","","","","1.02","E, 12, 55","0.88","E, 13, 55","1.03","E, 14, 55","0.99","E, 15, 55","0.85","E, 16, 55","","","","","","","1.37","C, 20, 55","1.46","C, 21, 55","1.15","C, 22, 55","1.20","C, 23, 55","1.20","C, 24, 55","1.15","C, 25, 55","1.18","C, 26, 55","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_USC_GPITCH","SD","Gender parity index of teachers in upper secondary education who are trained","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","","","","","","","","","","","","","","","","","","","","","","","","","0.98","E, 13, 55","0.70","E, 14, 55","0.85","E, 15, 55","0.68","E, 16, 55","","","","","","","1.17","C, 20, 55","1.32","C, 21, 55","1.01","C, 22, 55","1.16","C, 23, 55","","","","","","","",""
